#RPLIDAR SCAN DATA
#COUNT=637
#Angule	Distance	Quality
352.2931 3420.0 188
352.5623 3424.0 188
352.8094 3464.0 188
353.0621 3492.0 188
353.3093 3476.0 188
353.8696 2964.0 188
354.1223 2968.0 188
354.3750 2968.0 188
354.6222 2976.0 188
354.8859 2944.0 188
357.2150 2672.0 188
357.9675 2644.0 188
358.7311 2620.0 188
1.7633 2528.0 188
2.5104 2556.0 188
4.6857 3196.0 188
10.9479 3764.0 188
11.2006 3724.0 188
11.4478 3676.0 188
11.7004 3624.0 188
11.9641 3572.0 188
12.2168 3540.0 188
12.4640 3520.0 188
12.7167 3536.0 188
12.9639 3568.0 188
13.2330 3540.0 188
13.5297 3504.0 188
13.7933 3492.0 188
13.9801 3524.0 188
14.2328 3576.0 188
14.4965 3572.0 188
14.7491 3584.0 188
14.9963 3620.0 188
15.2490 3616.0 188
16.0126 3624.0 188
16.1993 4272.0 188
16.4685 4288.0 188
16.7157 4296.0 188
16.9684 4336.0 188
17.2156 4368.0 188
17.4683 4360.0 188
18.2318 4376.0 188
18.7317 4424.0 188
18.9844 4440.0 188
19.2480 4448.0 188
19.4952 4464.0 188
19.7479 4488.0 188
19.9951 4496.0 188
20.5115 4520.0 188
20.8081 3864.0 188
21.3245 3868.0 188
22.4176 1964.0 188
23.1866 1940.0 188
23.4338 1936.0 188
23.6865 1940.0 188
23.9337 1938.0 188
24.1864 1938.0 188
24.4501 1920.0 188
24.7028 1914.0 188
24.9500 1918.0 188
25.2026 1916.0 188
25.4498 1914.0 188
25.7025 1908.0 188
25.9662 1906.0 188
26.2134 1902.0 188
26.4661 1900.0 188
26.7188 1900.0 188
26.9659 1896.0 188
31.6077 678.0 188
31.8549 674.0 188
32.1075 672.0 188
32.3712 674.0 188
32.6239 674.0 188
32.8711 682.0 188
33.0743 686.0 188
33.3875 678.0 188
33.5907 686.0 188
42.4182 1022.0 188
42.6215 1034.0 188
42.8741 1040.0 188
43.1378 1044.0 188
43.3905 1048.0 188
43.6377 1054.0 188
44.4012 1062.0 188
46.1206 2844.0 188
46.3733 2872.0 188
46.6370 2896.0 188
46.8896 2920.0 188
47.1533 2940.0 188
47.4060 2976.0 188
47.6532 3004.0 188
47.9169 3028.0 188
48.1696 3060.0 188
48.8727 3088.0 188
49.2462 2580.0 188
49.4989 2584.0 188
49.7626 2592.0 188
50.6689 3312.0 188
50.9216 3356.0 188
51.1688 3384.0 188
51.9324 3428.0 188
52.4048 3528.0 188
52.6520 3520.0 188
52.9047 3520.0 188
53.1683 3516.0 188
53.4814 3508.0 188
53.7341 3504.0 188
53.9813 3496.0 188
54.2450 3492.0 188
54.4977 3488.0 188
54.7449 3484.0 188
55.0140 3480.0 188
55.2612 3476.0 188
55.5139 3472.0 188
55.7611 3476.0 188
64.8083 436.0 188
65.0610 439.0 188
65.3082 439.0 188
65.4950 441.0 188
65.7642 441.0 188
66.0114 443.0 188
67.9340 420.0 188
68.3899 430.0 188
68.5767 438.0 188
69.0930 435.0 188
69.7961 444.0 188
71.3562 439.0 188
73.5590 445.0 188
83.6389 412.0 188
83.8861 413.0 188
84.1388 413.0 188
84.4025 413.0 188
84.6552 413.0 188
84.9023 413.0 188
85.2155 408.0 188
85.5286 398.0 188
86.0889 394.0 188
87.0612 401.0 188
87.2479 407.0 188
87.5116 407.0 188
87.7643 408.0 188
88.0115 406.0 188
88.2642 406.0 188
88.5278 409.0 188
88.7146 411.0 188
88.9838 413.0 188
89.2310 412.0 188
89.4836 411.0 188
89.7968 406.0 188
90.1044 398.0 188
90.4175 392.0 188
90.7306 390.0 188
90.9833 390.0 188
91.4337 391.0 188
92.4829 418.0 188
92.7466 418.0 188
92.9993 418.0 188
93.3124 415.0 188
93.5596 415.0 188
94.3726 404.0 188
97.3114 287.0 188
97.5586 289.0 188
97.7618 292.0 188
98.0145 292.0 188
98.2782 291.0 188
98.4650 293.0 188
98.7177 296.0 188
104.8590 279.0 188
105.1062 279.0 188
111.6980 266.0 188
111.9507 266.0 188
112.1979 266.0 188
112.4506 266.0 188
112.7142 266.0 188
112.9669 267.0 188
113.6700 268.0 188
119.4489 248.0 188
118.5150 443.0 188
118.7622 443.0 188
119.0149 443.0 188
119.2621 442.0 188
119.5313 440.0 188
119.8279 435.0 188
120.1355 425.0 188
121.1078 438.0 188
121.4044 428.0 188
121.6681 424.0 188
121.9812 423.0 188
122.2339 422.0 188
122.4811 421.0 188
122.7338 419.0 188
122.9974 417.0 188
123.2941 416.0 188
123.5577 415.0 188
123.8104 413.0 188
124.0576 411.0 188
124.3103 410.0 188
124.6234 408.0 188
124.8871 405.0 188
125.1837 403.0 188
125.4529 402.0 188
125.7001 400.0 188
125.9528 398.0 188
126.2604 395.0 188
126.5131 393.0 188
126.8262 390.0 188
127.0734 388.0 188
127.3260 385.0 188
127.6392 383.0 188
127.9028 381.0 188
128.1555 380.0 188
128.4027 380.0 188
128.6554 379.0 188
128.9191 379.0 188
129.1718 379.0 188
129.4794 378.0 188
129.7321 378.0 188
129.9792 378.0 188
130.2319 378.0 188
130.4956 377.0 188
130.7483 377.0 188
130.9955 377.0 188
131.2482 377.0 188
131.5118 376.0 188
131.7645 376.0 188
132.0117 375.0 188
132.2644 375.0 188
132.5116 375.0 188
132.7643 375.0 188
133.0280 374.0 188
133.2806 374.0 188
133.5278 374.0 188
133.7805 374.0 188
134.0277 374.0 188
134.2804 374.0 188
134.5441 374.0 188
134.7968 374.0 188
135.0439 375.0 188
135.2966 375.0 188
135.5438 375.0 188
135.7965 375.0 188
136.0602 375.0 188
136.3074 375.0 188
136.5601 376.0 188
136.8073 376.0 188
137.0599 377.0 188
137.3071 377.0 188
137.5763 377.0 188
137.8235 378.0 188
138.0103 379.0 188
138.2629 379.0 188
138.5266 379.0 188
138.7793 380.0 188
139.0265 380.0 188
139.2792 380.0 188
139.5264 380.0 188
139.7791 381.0 188
140.0427 381.0 188
140.2954 382.0 188
140.5426 383.0 188
140.9985 385.0 188
141.9983 386.0 188
142.2620 385.0 188
142.5146 388.0 188
142.7014 391.0 188
142.9486 394.0 188
143.2178 395.0 188
143.4045 399.0 188
143.6517 402.0 188
143.8550 404.0 188
144.1077 407.0 188
144.3109 410.0 188
