# RPLIDAR SCAN DATA SERIES
# Software: https://github.com/knei-knurow/lidar-visualizations
# Authors: Szymon Bednorz, Bartek Dudek
#
# Each frame (360 deg full scan) is followed by its number and a time elapsed from the previous frame (in milliseconds).
#
# Angle, Distance
! 1 0
19.8578 1856
20.0446 1878
20.6213 1882
22.4835 1980
22.8571 1976
23.9502 2132
24.137 2156
24.3402 2152
24.527 2140
24.7137 2136
24.906 2136
25.1093 2144
25.296 2144
25.4828 2156
25.6696 2168
25.8728 2176
26.0596 2188
26.2463 2200
26.4331 2224
26.5759 2252
26.7627 2260
26.9659 2264
27.1527 2268
27.3395 2276
27.5262 2280
27.7295 2288
27.9218 2300
28.1085 2316
28.2953 2328
28.4985 2340
28.6853 2348
28.8721 2356
29.0588 2376
29.2621 2404
29.4489 2424
29.6521 2444
29.7784 2460
30.1685 2460
33.4204 2836
33.6072 2832
33.8104 2832
33.9972 2828
34.2004 2824
34.3872 2828
34.5905 2828
34.7772 2828
34.964 2824
35.1672 2820
35.354 2820
35.5573 2820
35.7495 2820
35.9528 2820
36.1395 2816
36.3263 2812
36.5295 2812
36.7163 2808
36.9196 2808
37.1063 2808
37.3096 2808
37.4963 2804
37.6831 2804
37.8864 2800
38.0731 2800
38.2764 2804
38.4686 2808
38.6719 2804
38.8586 2804
39.0454 2800
39.2487 2796
39.4354 2796
39.6387 2796
39.8254 2796
40.0287 2796
40.2155 2792
40.4022 2796
40.6055 2796
40.7922 2792
40.9955 2788
41.1823 2792
41.3745 2792
41.5778 2788
41.7645 2792
41.9678 2792
42.1545 2788
42.3578 2784
42.5446 2788
42.7313 2792
42.9346 2792
43.1213 2788
43.3246 2788
43.5114 2788
43.7146 2784
43.9014 2788
44.0936 2792
44.2969 2788
44.4836 2788
44.6869 2788
44.8737 2792
45.0769 2792
45.2637 2792
45.4504 2792
45.6537 2792
45.8405 2792
46.0437 2796
46.2305 2796
46.4337 2792
46.6205 2792
46.8073 2800
47.0105 2800
47.2028 2796
47.406 2796
47.5928 2800
47.7795 2796
47.9828 2796
48.1696 2800
48.3563 2796
48.5431 2800
48.7463 2804
48.9331 2804
49.1199 2796
49.3231 2800
49.5154 2804
49.7021 2804
49.8889 2808
50.0922 2804
50.2789 2804
50.4657 2804
50.6525 2804
50.8557 2808
51.0425 2812
51.2292 2808
51.4215 2812
51.6248 2812
51.8115 2792
51.9983 2784
52.1851 2776
52.3883 2768
52.5751 2756
52.7618 2748
52.9486 2736
53.2013 2728
53.4045 2720
53.5913 2708
53.7781 2700
53.9648 2688
54.1681 2684
54.3549 2668
54.5416 2660
54.7339 2652
54.9371 2640
55.1239 2632
55.3107 2624
55.4974 2616
55.7007 2604
55.8875 2596
56.0742 2588
56.261 2580
56.4642 2572
56.651 2564
56.8433 2552
57.03 2540
57.2333 2532
57.42 2528
57.6068 2516
57.8101 2508
57.9968 2500
58.1836 2492
