#RPLIDAR SCAN DATA
#COUNT=1296
#Angule	Distance	Quality
352.2656 4320.0 188
352.5293 4320.0 188
352.7765 4328.0 188
353.0457 4344.0 188
353.2928 4344.0 188
353.5620 4344.0 188
353.8092 4352.0 188
354.0729 4360.0 188
354.3256 4368.0 188
354.5892 4376.0 188
354.8419 4384.0 188
355.1056 4392.0 188
355.3748 4400.0 188
355.6219 4416.0 188
355.8856 4424.0 188
356.1383 4432.0 188
356.4020 4416.0 188
356.6547 4424.0 188
356.9183 4432.0 188
357.1710 4440.0 188
357.4347 4456.0 188
357.6874 4472.0 188
357.9510 4480.0 188
358.1982 4480.0 188
358.4674 4488.0 188
358.7146 4496.0 188
358.9838 4504.0 188
359.2310 4512.0 188
359.4946 4520.0 188
359.7473 4536.0 188
0.0110 4544.0 188
0.2637 4552.0 188
0.5273 4560.0 188
0.7800 4568.0 188
1.0437 4584.0 188
1.2964 4592.0 188
1.5601 4600.0 188
1.8073 4608.0 188
2.0764 4616.0 188
2.3236 4632.0 188
2.5928 4640.0 188
2.8400 4648.0 188
3.1091 4656.0 188
3.3563 4672.0 188
3.6200 4680.0 188
3.8727 4696.0 188
4.1364 4704.0 188
4.3890 4720.0 188
4.6527 4728.0 188
4.9054 4744.0 188
5.1691 4768.0 188
5.4218 4784.0 188
5.6854 4792.0 188
5.9326 4800.0 188
6.2018 4816.0 188
6.4490 4832.0 188
6.7181 4840.0 188
6.9653 4848.0 188
7.2290 4848.0 188
7.4817 4872.0 188
7.7454 4904.0 188
7.9980 4912.0 188
8.2013 4928.0 188
8.4650 4936.0 188
8.7177 4952.0 188
8.9813 4960.0 188
9.2340 4976.0 188
9.4977 5000.0 188
9.7449 5016.0 188
10.0140 5032.0 188
10.2777 5048.0 188
10.5304 5056.0 188
10.7941 5064.0 188
11.0468 5088.0 188
11.3104 5112.0 188
11.5576 5112.0 188
11.8268 5120.0 188
12.0740 5136.0 188
12.3431 5136.0 188
12.5903 5112.0 188
12.8540 5072.0 188
13.1067 5040.0 188
13.3704 5008.0 188
13.6230 4968.0 188
13.8867 4936.0 188
14.1998 4912.0 188
14.4525 4896.0 188
14.7162 4864.0 188
14.9634 4832.0 188
15.2325 4816.0 188
15.4797 4784.0 188
15.7489 4744.0 188
15.9961 4712.0 188
16.2653 4696.0 188
16.5125 4672.0 188
16.7761 4648.0 188
17.0288 4616.0 188
17.2925 4592.0 188
17.5452 4560.0 188
17.8088 4536.0 188
18.0615 4512.0 188
18.3252 4488.0 188
18.8416 4472.0 188
19.1711 3552.0 188
19.4183 3536.0 188
19.6875 3524.0 188
19.9951 3512.0 188
20.2643 3500.0 188
20.5115 3496.0 188
20.7806 3484.0 188
21.0278 3472.0 188
21.2915 3460.0 188
21.5607 3448.0 188
21.8079 3436.0 188
22.0770 3424.0 188
22.3407 3420.0 188
22.5934 3424.0 188
22.8571 3436.0 188
23.1042 3460.0 188
23.3734 3488.0 188
23.6371 3496.0 188
23.8898 3488.0 188
24.4171 3360.0 188
24.6698 3348.0 188
24.9335 3332.0 188
25.1862 3320.0 188
25.4498 3312.0 188
25.7135 3308.0 188
25.9662 3312.0 188
26.2299 3328.0 188
26.4990 3316.0 188
26.7462 3292.0 188
27.9053 2604.0 188
28.1689 2604.0 188
28.4216 2604.0 188
28.6853 2624.0 188
28.9325 2660.0 188
29.2017 2692.0 188
29.4653 2732.0 188
29.6686 2772.0 188
29.9213 2816.0 188
30.1849 2860.0 188
30.4486 2908.0 188
30.7013 2952.0 188
30.9650 2992.0 188
31.2177 3040.0 188
31.4209 3088.0 188
31.6846 3092.0 188
31.9482 3084.0 188
32.2009 3080.0 188
32.5305 3072.0 188
32.7777 3060.0 188
33.0469 3052.0 188
33.2941 3044.0 188
33.5577 3036.0 188
33.8269 3028.0 188
34.0741 3016.0 188
34.3433 3008.0 188
34.6069 3004.0 188
34.8541 2992.0 188
35.1233 2984.0 188
35.3705 2980.0 188
35.6396 2972.0 188
35.9033 2960.0 188
36.1560 2948.0 188
36.4197 2940.0 188
36.6833 2936.0 188
36.9360 2928.0 188
37.8259 2400.0 188
38.0896 2404.0 188
38.3423 2408.0 188
38.6060 2416.0 188
39.3585 1724.0 188
39.6057 1722.0 188
39.8749 1716.0 188
40.1385 1712.0 188
40.3857 1708.0 188
40.6549 1704.0 188
40.9021 1702.0 188
41.1713 1700.0 188
41.4349 1696.0 188
41.6821 1692.0 188
41.9513 1690.0 188
42.2150 1686.0 188
42.4677 1680.0 188
42.7313 1678.0 188
42.9840 1674.0 188
43.2477 1672.0 188
43.5114 1670.0 188
43.7640 1666.0 188
44.0277 1664.0 188
44.2804 1660.0 188
44.5441 1658.0 188
44.7968 1656.0 188
45.0604 1652.0 188
45.3076 1648.0 188
45.5768 1646.0 188
45.8240 1644.0 188
46.0931 1642.0 188
46.4063 1638.0 188
46.6534 1636.0 188
46.9171 1634.0 188
47.1698 1632.0 188
47.4335 1628.0 188
47.6862 1626.0 188
47.9498 1624.0 188
48.2025 1622.0 188
48.4662 1620.0 188
48.7134 1616.0 188
48.9825 1614.0 188
49.2297 1614.0 188
49.4824 1610.0 188
49.7461 1608.0 188
49.9988 1606.0 188
50.2625 1604.0 188
50.5151 1602.0 188
50.7788 1600.0 188
51.0260 1598.0 188
51.2952 1598.0 188
51.5424 1596.0 188
51.8115 1592.0 188
52.0587 1592.0 188
52.3279 1590.0 188
52.5751 1586.0 188
52.8387 1584.0 188
53.0914 1584.0 188
53.3551 1582.0 188
53.6078 1580.0 188
53.8715 1582.0 188
54.1241 1580.0 188
54.3878 1576.0 188
54.6405 1576.0 188
54.9042 1574.0 188
55.1514 1574.0 188
55.4205 1572.0 188
55.6677 1570.0 188
55.9369 1570.0 188
56.1841 1568.0 188
56.4478 1566.0 188
56.7004 1566.0 188
56.9641 1564.0 188
57.2168 1564.0 188
57.4805 1562.0 188
57.7332 1560.0 188
57.9968 1560.0 188
58.2495 1562.0 188
58.5132 1560.0 188
58.7604 1558.0 188
59.0295 1558.0 188
59.2767 1558.0 188
59.5459 1556.0 188
59.7931 1556.0 188
60.0623 1554.0 188
60.3094 1552.0 188
60.5731 1554.0 188
60.8258 1556.0 188
61.0895 1550.0 188
61.3422 1546.0 188
61.5894 1548.0 188
61.8585 1548.0 188
62.1057 1548.0 188
62.3749 1550.0 188
62.6221 1548.0 188
62.8857 1548.0 188
63.1384 1548.0 188
63.4021 1548.0 188
63.6548 1548.0 188
63.9185 1546.0 188
64.1711 1546.0 188
64.4348 1546.0 188
64.6875 1546.0 188
64.9512 1546.0 188
65.1984 1546.0 188
65.7806 1484.0 188
66.0278 1488.0 188
66.2915 1518.0 188
66.8079 1510.0 188
67.0111 1538.0 188
67.2638 1544.0 188
67.5275 1546.0 188
67.7802 1546.0 188
68.0438 1548.0 188
68.2965 1548.0 188
68.5602 1544.0 188
68.8074 1544.0 188
69.0765 1548.0 188
69.3402 1550.0 188
69.5929 1550.0 188
69.8566 1550.0 188
70.1093 1550.0 188
70.3729 1550.0 188
70.6366 1552.0 188
70.8893 1554.0 188
71.1530 1554.0 188
71.4056 1554.0 188
71.6693 1550.0 188
71.9824 1528.0 188
72.2461 1526.0 188
72.8229 1414.0 188
73.0756 1398.0 188
74.5422 1190.0 188
74.8553 1160.0 188
75.1245 1128.0 188
75.4321 1096.0 188
75.7452 1064.0 188
76.0144 1032.0 188
76.5747 1002.0 188
76.9482 940.0 188
77.2174 914.0 188
77.5305 890.0 188
78.1512 840.0 188
78.4204 820.0 188
78.7335 800.0 188
79.0466 780.0 188
79.3542 762.0 188
79.6674 742.0 188
79.9365 726.0 188
80.2496 712.0 188
80.5573 698.0 188
80.8264 686.0 188
81.1395 674.0 188
81.4526 664.0 188
81.7163 652.0 188
82.0294 642.0 188
82.2931 634.0 188
82.6062 622.0 188
82.9193 612.0 188
83.1830 604.0 188
83.4961 596.0 188
83.7488 588.0 188
84.0729 578.0 188
84.3860 570.0 188
84.6387 562.0 188
84.9683 554.0 188
85.2759 546.0 188
85.5286 538.0 188
85.8417 532.0 188
86.1053 524.0 188
86.4185 518.0 188
86.7316 510.0 188
86.9952 503.0 188
87.3083 496.0 188
87.6215 490.0 188
87.8906 484.0 188
88.1982 477.0 188
88.5114 471.0 188
88.7805 465.0 188
89.0936 459.0 188
89.4012 453.0 188
89.6704 448.0 188
89.9835 442.0 188
90.2966 438.0 188
90.5603 434.0 188
90.8734 428.0 188
91.1865 423.0 188
91.4502 419.0 188
91.7633 415.0 188
92.0270 410.0 188
92.3401 406.0 188
92.6532 402.0 188
92.9169 398.0 188
93.2300 394.0 188
93.5431 390.0 188
93.7958 386.0 188
94.1199 383.0 188
94.3726 380.0 188
