#RPLIDAR SCAN DATA
#COUNT=1252
#Angule	Distance	Quality
353.3698 882.0 188
353.6829 878.0 188
353.8861 882.0 188
354.1388 886.0 188
354.4025 890.0 188
354.6552 894.0 188
354.9188 896.0 188
355.1825 900.0 188
355.4352 908.0 188
355.6989 910.0 188
355.9515 910.0 188
356.1548 914.0 188
358.8739 4328.0 188
359.1376 4320.0 188
359.3903 4328.0 188
359.6539 4336.0 188
359.9176 4336.0 188
0.1703 4344.0 188
0.4340 4352.0 188
0.6866 4360.0 188
0.9503 4368.0 188
1.2140 4376.0 188
1.4667 4376.0 188
1.7303 4376.0 188
1.9830 4392.0 188
2.2467 4400.0 188
2.4994 4424.0 188
2.7631 4424.0 188
3.0267 4424.0 188
3.2794 4432.0 188
3.5431 4432.0 188
3.7958 4432.0 188
4.0594 4448.0 188
4.3231 4456.0 188
4.5758 4472.0 188
4.8395 4480.0 188
5.0922 4488.0 188
5.3558 4496.0 188
5.6250 4496.0 188
5.8722 4504.0 188
6.1359 4512.0 188
6.3885 4528.0 188
6.6522 4536.0 188
6.9049 4544.0 188
7.1686 4552.0 188
7.4323 4560.0 188
7.6849 4568.0 188
7.9486 4592.0 188
8.2013 4600.0 188
8.4650 4608.0 188
8.7177 4616.0 188
8.9813 4616.0 188
9.2450 4632.0 188
9.4977 4648.0 188
9.7614 4656.0 188
10.0140 4664.0 188
10.2777 4672.0 188
10.5304 4688.0 188
10.7941 4696.0 188
11.0577 4712.0 188
11.3104 4728.0 188
11.5741 4736.0 188
11.8268 4744.0 188
12.0905 4760.0 188
12.3431 4768.0 188
12.6068 4784.0 188
12.8705 4792.0 188
13.1232 4808.0 188
13.3868 4816.0 188
13.6395 4824.0 188
13.9032 4840.0 188
14.1559 4848.0 188
14.4196 4872.0 188
14.6832 4888.0 188
14.9359 4912.0 188
15.1392 4920.0 188
15.4028 4928.0 188
15.6555 4944.0 188
15.9192 4960.0 188
16.1719 4976.0 188
16.4355 4992.0 188
16.6992 5008.0 188
16.9519 5024.0 188
17.2156 5048.0 188
17.4683 5064.0 188
17.7319 5072.0 188
17.9791 5080.0 188
18.2483 5104.0 188
18.5120 5120.0 188
18.7646 5136.0 188
19.0283 5152.0 188
19.2810 5152.0 188
19.5447 5152.0 188
19.7919 5120.0 188
20.0610 5080.0 188
20.3247 5048.0 188
20.5774 5016.0 188
20.8411 4992.0 188
21.0938 4952.0 188
21.3574 4920.0 188
21.6705 4896.0 188
21.9342 4864.0 188
22.1869 4840.0 188
22.4506 4816.0 188
22.6978 4792.0 188
22.9669 4768.0 188
23.2141 4736.0 188
