#RPLIDAR SCAN DATA
#COUNT=892
#Angule	Distance	Quality
356.5887 1080.0 188
357.1710 1074.0 188
357.7313 1076.0 188
0.1044 3156.0 188
0.2966 3148.0 188
0.4834 3144.0 188
0.6702 3136.0 188
0.8569 3128.0 188
1.0437 3124.0 188
1.2469 3120.0 188
1.4337 3112.0 188
1.6205 3112.0 188
1.8073 3108.0 188
1.9995 3100.0 188
2.1863 3096.0 188
2.3730 3092.0 188
2.5598 3088.0 188
2.7466 3084.0 188
2.9498 3080.0 188
3.1860 3072.0 188
3.3728 3068.0 188
3.5596 3064.0 188
3.7628 3060.0 188
3.9496 3056.0 188
4.1364 3052.0 188
4.3231 3048.0 188
4.5154 3040.0 188
4.7021 3036.0 188
4.8889 3028.0 188
5.0757 3024.0 188
5.2625 3032.0 188
5.4492 3068.0 188
13.2770 351.0 188
13.4198 353.0 188
13.9801 354.0 188
14.5129 325.0 188
14.9359 323.0 188
19.4019 277.0 188
19.5886 279.0 188
20.0885 280.0 188
20.6049 283.0 188
22.3077 285.0 188
22.5604 281.0 188
22.7966 277.0 188
23.1042 272.0 188
23.3405 268.0 188
23.5272 269.0 188
23.6700 271.0 188
23.8568 272.0 188
24.1864 274.0 188
30.3278 290.0 188
30.5145 291.0 188
30.7178 292.0 188
30.8386 293.0 188
31.0309 294.0 188
31.2177 295.0 188
31.4044 296.0 188
31.7340 298.0 188
39.0894 343.0 188
39.2926 342.0 188
39.4794 342.0 188
39.6716 343.0 188
39.8584 343.0 188
40.0616 344.0 188
40.2484 344.0 188
40.4352 344.0 188
40.6219 344.0 188
40.8252 345.0 188
41.0120 345.0 188
41.1987 345.0 188
41.3855 345.0 188
41.5887 345.0 188
41.7810 345.0 188
41.9678 346.0 188
42.1051 347.0 188
42.2919 347.0 188
42.4841 347.0 188
43.0609 348.0 188
71.3397 155.0 188
71.5265 155.0 188
71.6693 156.0 188
71.8561 156.0 188
72.3560 157.0 188
75.9485 418.0 188
76.1847 414.0 188
76.4374 409.0 188
76.6846 403.0 188
76.8713 398.0 188
77.1240 392.0 188
77.3712 386.0 188
77.6239 380.0 188
77.8546 375.0 188
78.1073 372.0 188
78.2941 371.0 188
78.4973 369.0 188
78.7500 366.0 188
78.9368 364.0 188
79.1235 362.0 188
79.3707 361.0 188
79.8871 362.0 188
80.4199 387.0 188
80.6232 385.0 188
80.8594 383.0 188
81.0571 379.0 188
81.2933 375.0 188
81.5460 372.0 188
81.7328 371.0 188
82.1667 367.0 188
83.8092 355.0 188
84.0125 355.0 188
84.1992 352.0 188
84.4519 351.0 188
84.6387 350.0 188
84.8254 349.0 188
85.0122 348.0 188
85.1990 347.0 188
85.4517 346.0 188
85.6384 346.0 188
85.8417 345.0 188
86.0284 344.0 188
86.2152 343.0 188
86.4020 342.0 188
86.6547 341.0 188
86.8414 340.0 188
87.0447 339.0 188
87.2314 338.0 188
87.4182 337.0 188
87.6050 337.0 188
87.8577 336.0 188
88.0444 335.0 188
88.2312 335.0 188
88.4344 334.0 188
88.6871 332.0 188
88.8739 331.0 188
89.0607 331.0 188
89.2474 330.0 188
89.4342 329.0 188
89.6375 328.0 188
89.8737 327.0 188
90.0769 326.0 188
90.2637 325.0 188
90.4504 324.0 188
90.6372 324.0 188
90.8899 323.0 188
91.0767 322.0 188
