#RPLIDAR SCAN DATA
#COUNT=1162
#Angule	Distance	Quality
352.4963 2056.0 188
352.7655 2060.0 188
353.0127 2060.0 188
353.2654 2068.0 188
353.5291 2068.0 188
353.7762 2064.0 188
354.0289 2064.0 188
354.2926 2068.0 188
354.5453 2072.0 188
354.8090 2076.0 188
355.0616 2076.0 188
355.3088 2072.0 188
355.5780 2072.0 188
355.8252 2076.0 188
356.0779 2080.0 188
356.3416 2080.0 188
356.5887 2084.0 188
356.8414 2084.0 188
357.1051 2088.0 188
357.3578 2096.0 188
357.6215 2096.0 188
357.8741 2096.0 188
358.1213 2100.0 188
358.3905 2104.0 188
358.6377 2104.0 188
358.8904 2104.0 188
359.1541 2112.0 188
359.4012 2116.0 188
359.6539 2116.0 188
359.9176 2124.0 188
0.1703 2120.0 188
0.4340 2124.0 188
0.6866 2132.0 188
0.9338 2136.0 188
1.2030 2132.0 188
1.4502 2136.0 188
1.7029 2144.0 188
1.9666 2144.0 188
2.2137 2144.0 188
2.4664 0.0 188
2.7301 0.0 188
2.9828 0.0 188
3.2465 0.0 188
3.4991 0.0 188
3.7463 0.0 188
4.0155 0.0 188
4.2627 0.0 188
4.5154 0.0 188
4.7791 0.0 188
5.0262 0.0 188
5.2954 0.0 188
5.5426 0.0 188
5.7953 0.0 188
6.0590 0.0 188
6.3116 0.0 188
6.5588 0.0 188
6.8280 0.0 188
7.0752 0.0 188
7.3279 0.0 188
7.5916 0.0 188
7.7948 0.0 188
8.0420 2244.0 188
8.2947 2248.0 188
8.5583 2252.0 188
8.8110 2256.0 188
9.0582 2268.0 188
9.3274 2268.0 188
9.5746 2272.0 188
9.8273 2280.0 188
10.0909 2284.0 188
10.3436 2292.0 188
10.6073 2300.0 188
10.8545 0.0 188
11.1072 0.0 188
11.3708 0.0 188
11.6235 2316.0 188
11.8707 2324.0 188
12.1399 2328.0 188
12.3871 2328.0 188
12.6398 2336.0 188
12.9034 2344.0 188
13.1561 2356.0 188
13.4198 2360.0 188
13.6670 2360.0 188
13.9197 2368.0 188
14.1833 2376.0 188
14.4360 2384.0 188
14.6997 2388.0 188
14.9524 2396.0 188
15.2161 2400.0 188
15.4688 2408.0 188
15.7324 2416.0 188
15.9796 2424.0 188
16.2323 2432.0 188
16.4960 2440.0 188
16.7487 2448.0 188
17.0123 2456.0 188
17.2156 2460.0 188
17.4683 2464.0 188
17.7319 2476.0 188
17.9791 2480.0 188
18.2483 2488.0 188
18.4955 2496.0 188
18.7482 2504.0 188
19.0118 2516.0 188
19.2645 2524.0 188
19.5282 2528.0 188
19.7809 2540.0 188
20.0446 2552.0 188
20.2917 2560.0 188
20.5609 2564.0 188
20.8081 2572.0 188
21.0773 2584.0 188
21.3245 2596.0 188
21.5936 2600.0 188
21.8408 2608.0 188
22.0935 2620.0 188
22.3572 2628.0 188
22.6044 2636.0 188
22.8735 2648.0 188
23.1207 2664.0 188
23.3899 2676.0 188
23.6371 2688.0 188
23.9063 2692.0 188
24.1534 2708.0 188
24.4171 2716.0 188
24.6698 2728.0 188
