#RPLIDAR SCAN DATA
#COUNT=1485
#Angule	Distance	Quality
356.6986 285.0 188
356.9348 285.0 188
357.1710 285.0 188
357.4017 284.0 188
357.6379 284.0 188
357.8741 283.0 188
358.1049 283.0 188
358.4015 282.0 188
358.6377 282.0 188
358.8739 281.0 188
359.1046 281.0 188
359.3408 281.0 188
359.5770 280.0 188
359.8737 279.0 188
0.1044 279.0 188
0.3406 279.0 188
0.5768 278.0 188
0.8240 278.0 188
1.0602 278.0 188
1.2964 277.0 188
1.5271 277.0 188
1.7633 277.0 188
2.0599 276.0 188
2.2961 276.0 188
2.5269 276.0 188
2.7631 275.0 188
2.9993 275.0 188
3.2300 274.0 188
3.4662 274.0 188
3.7024 274.0 188
3.9990 273.0 188
4.2297 273.0 188
4.4659 273.0 188
4.7021 273.0 188
4.9329 272.0 188
5.1855 272.0 188
5.4218 272.0 188
5.6525 271.0 188
5.8887 271.0 188
6.1249 271.0 188
6.3556 271.0 188
6.6522 270.0 188
6.8884 270.0 188
7.1246 270.0 188
7.3553 270.0 188
7.5916 270.0 188
7.8278 269.0 188
8.0585 269.0 188
8.3112 269.0 188
8.5419 269.0 188
8.7781 268.0 188
9.0143 268.0 188
9.2450 268.0 188
9.4812 268.0 188
9.7174 268.0 188
10.0140 267.0 188
10.2448 267.0 188
10.4810 267.0 188
10.7172 267.0 188
10.9479 267.0 188
11.1841 267.0 188
11.4203 266.0 188
11.6510 266.0 188
11.8872 266.0 188
12.1234 266.0 188
12.3541 266.0 188
12.5903 266.0 188
12.8265 266.0 188
13.0573 266.0 188
13.3099 265.0 188
13.5461 265.0 188
13.7769 265.0 188
14.0131 265.0 188
14.2493 265.0 188
14.4800 265.0 188
14.7162 265.0 188
14.9524 265.0 188
15.1831 265.0 188
15.4193 265.0 188
15.6555 265.0 188
15.8862 265.0 188
16.1224 265.0 188
16.3586 265.0 188
16.6553 264.0 188
16.8860 264.0 188
17.1222 264.0 188
17.3584 264.0 188
17.5891 264.0 188
17.8253 264.0 188
18.0615 264.0 188
18.3087 264.0 188
18.5449 264.0 188
18.7811 264.0 188
19.0118 264.0 188
19.2480 264.0 188
19.4843 264.0 188
19.7150 264.0 188
19.9512 264.0 188
20.1874 264.0 188
20.4181 264.0 188
20.6543 264.0 188
20.8905 264.0 188
21.0773 265.0 188
21.3080 265.0 188
21.5442 265.0 188
21.7804 265.0 188
22.0111 265.0 188
22.2473 265.0 188
22.4835 265.0 188
22.7142 265.0 188
22.9504 265.0 188
23.1866 265.0 188
23.4174 265.0 188
23.6536 265.0 188
23.8898 265.0 188
24.1205 265.0 188
24.3567 265.0 188
24.6094 265.0 188
24.8401 266.0 188
25.0763 266.0 188
25.3125 266.0 188
25.5432 266.0 188
25.7794 266.0 188
26.0156 267.0 188
26.2463 267.0 188
26.4825 267.0 188
26.7188 267.0 188
26.9495 267.0 188
27.1857 267.0 188
27.3724 268.0 188
27.6086 268.0 188
27.8394 268.0 188
28.0756 268.0 188
28.3118 268.0 188
28.5425 268.0 188
28.7787 269.0 188
29.0149 269.0 188
29.2456 269.0 188
29.4818 269.0 188
29.7180 269.0 188
29.9487 269.0 188
30.1849 270.0 188
30.4321 270.0 188
30.6683 270.0 188
30.9045 270.0 188
31.0748 271.0 188
31.3110 271.0 188
31.5417 271.0 188
31.7944 271.0 188
32.0306 271.0 188
32.2614 272.0 188
32.4976 272.0 188
32.7338 272.0 188
32.9810 273.0 188
33.2172 273.0 188
33.4479 273.0 188
33.6401 274.0 188
33.8708 274.0 188
34.1071 274.0 188
34.3433 275.0 188
34.5740 275.0 188
34.8102 275.0 188
35.0574 275.0 188
35.2936 276.0 188
35.5298 276.0 188
35.7166 277.0 188
35.9528 277.0 188
36.1835 277.0 188
36.4197 277.0 188
36.6559 278.0 188
36.8866 278.0 188
37.1393 279.0 188
37.3700 279.0 188
37.6062 279.0 188
37.7930 280.0 188
38.0292 280.0 188
38.2654 281.0 188
38.4961 281.0 188
38.7323 282.0 188
38.9795 282.0 188
39.2157 282.0 188
39.3860 283.0 188
39.6387 283.0 188
39.8749 284.0 188
40.1056 284.0 188
40.3418 285.0 188
40.5780 285.0 188
40.8252 285.0 188
40.9955 286.0 188
41.2317 287.0 188
41.4844 287.0 188
41.7151 288.0 188
41.9513 288.0 188
42.1875 288.0 188
42.4182 289.0 188
42.6050 290.0 188
42.8412 290.0 188
43.0774 291.0 188
43.3081 291.0 188
43.5608 292.0 188
43.7915 292.0 188
43.9673 293.0 188
44.2145 293.0 188
44.4507 294.0 188
44.6869 295.0 188
44.9176 296.0 188
45.1538 296.0 188
45.3900 296.0 188
45.5768 297.0 188
45.8075 297.0 188
46.0437 298.0 188
46.2964 299.0 188
46.4667 300.0 188
46.7029 300.0 188
46.9501 301.0 188
47.1863 301.0 188
47.4170 302.0 188
47.6532 303.0 188
47.8894 303.0 188
48.0762 304.0 188
48.3124 305.0 188
48.5431 306.0 188
48.7958 306.0 188
49.0265 307.0 188
49.2023 308.0 188
49.4495 308.0 188
49.6857 309.0 188
49.9219 310.0 188
50.1526 311.0 188
50.3888 311.0 188
50.5756 312.0 188
50.8118 313.0 188
51.0425 314.0 188
51.2787 314.0 188
51.4655 316.0 188
51.7017 316.0 188
51.9324 317.0 188
52.1851 318.0 188
52.4213 318.0 188
52.6520 319.0 188
52.8387 320.0 188
53.0750 320.0 188
53.3112 321.0 188
53.5419 323.0 188
53.7177 324.0 188
53.9484 325.0 188
54.2010 326.0 188
54.4373 326.0 188
54.6680 327.0 188
54.8438 328.0 188
55.0745 329.0 188
55.3107 330.0 188
55.5469 331.0 188
55.7776 332.0 188
55.9644 333.0 188
56.2006 334.0 188
56.4368 335.0 188
56.6675 336.0 188
56.8433 337.0 188
57.0740 338.0 188
