#RPLIDAR SCAN DATA
#COUNT=1308
#Angule	Distance	Quality
352.1667 4416.0 188
352.4194 4416.0 188
352.6831 4424.0 188
352.9358 4440.0 188
353.1830 4456.0 188
353.4521 4464.0 188
353.6993 4472.0 188
353.9520 4472.0 188
354.2157 4472.0 188
354.4684 4480.0 188
354.7156 4496.0 188
354.9792 4504.0 188
355.2319 4512.0 188
355.4956 4520.0 188
355.7483 4528.0 188
355.9955 4544.0 188
356.2646 4552.0 188
356.5118 4560.0 188
356.7645 4568.0 188
357.0282 4576.0 188
357.2809 4592.0 188
357.5281 4600.0 188
357.7917 4608.0 188
358.0444 4616.0 188
358.2916 4632.0 188
358.5608 4640.0 188
358.8080 4648.0 188
359.0607 4656.0 188
359.3243 4672.0 188
359.5770 4688.0 188
359.8407 4696.0 188
0.0934 4704.0 188
0.3406 4720.0 188
0.6042 4728.0 188
0.8569 4752.0 188
1.1041 4768.0 188
1.3733 4776.0 188
1.6205 4784.0 188
1.8732 4800.0 188
2.1368 4816.0 188
2.3895 4832.0 188
2.6367 4840.0 188
2.9059 4840.0 188
3.1531 4872.0 188
3.4058 4880.0 188
3.6694 4888.0 188
3.9166 4904.0 188
4.1199 4920.0 188
4.3726 4928.0 188
4.6362 4944.0 188
4.8889 4960.0 188
5.1361 4984.0 188
5.4053 4992.0 188
5.6525 5008.0 188
5.9052 5024.0 188
6.1688 5040.0 188
6.4215 5056.0 188
6.6852 5080.0 188
6.9324 5096.0 188
7.1851 5096.0 188
7.4487 5096.0 188
7.7014 5128.0 188
7.9486 5136.0 188
8.2178 5104.0 188
8.4650 5072.0 188
8.7177 5040.0 188
8.9813 5008.0 188
9.2340 4976.0 188
9.4977 4952.0 188
9.8108 4912.0 188
10.0580 4888.0 188
10.3107 4864.0 188
10.5743 4832.0 188
10.8270 4808.0 188
11.0742 4784.0 188
11.3434 4744.0 188
11.5906 4712.0 188
11.8433 4688.0 188
12.1069 4672.0 188
12.3541 4648.0 188
12.6233 4624.0 188
12.8705 4592.0 188
13.1232 4568.0 188
13.3868 4536.0 188
13.6395 4512.0 188
13.8867 4488.0 188
14.1559 4464.0 188
14.4031 4448.0 188
14.6558 4424.0 188
14.9194 4408.0 188
15.4797 3596.0 188
15.7324 3584.0 188
15.9961 3568.0 188
16.2488 3552.0 188
16.5125 3536.0 188
16.7651 3516.0 188
17.0728 3500.0 188
17.3254 3484.0 188
17.5891 3468.0 188
17.8418 3456.0 188
18.0890 3440.0 188
18.3582 3428.0 188
18.6053 3412.0 188
18.8580 3396.0 188
19.1217 3380.0 188
19.3744 3364.0 188
19.6381 3352.0 188
19.8853 3340.0 188
20.1379 3328.0 188
20.4016 3316.0 188
20.9674 2872.0 188
21.2146 2840.0 188
21.4838 2852.0 188
21.7310 2872.0 188
21.9836 2896.0 188
22.2473 2944.0 188
22.5000 3012.0 188
22.7472 3068.0 188
23.2141 3124.0 188
23.5767 2596.0 188
23.8403 2592.0 188
24.0930 2596.0 188
24.3402 2612.0 188
24.6094 2644.0 188
24.8566 2680.0 188
25.1093 2716.0 188
25.3125 2752.0 188
25.5597 2792.0 188
25.8234 2832.0 188
26.0760 2872.0 188
26.3397 2920.0 188
26.5924 2968.0 188
26.8396 3008.0 188
27.1088 3060.0 188
27.2955 3084.0 188
27.5592 3076.0 188
27.8723 3068.0 188
28.1250 3060.0 188
28.3887 3052.0 188
28.6359 3044.0 188
28.8885 3032.0 188
29.1522 3016.0 188
29.4049 3008.0 188
29.6521 3000.0 188
29.9213 2996.0 188
30.1685 2992.0 188
30.4211 2984.0 188
30.6848 2976.0 188
30.9375 2968.0 188
31.2012 2960.0 188
31.4484 2948.0 188
31.7175 2944.0 188
31.9647 2932.0 188
32.2339 2924.0 188
32.4811 2920.0 188
33.2611 2912.0 188
33.6401 2392.0 188
33.8873 2396.0 188
34.1510 2396.0 188
34.8871 1712.0 188
35.1398 1712.0 188
35.4034 1708.0 188
35.6671 1706.0 188
35.9198 1702.0 188
36.1835 1696.0 188
36.4362 1694.0 188
36.6998 1690.0 188
36.9525 1686.0 188
37.2162 1682.0 188
37.4634 1680.0 188
37.7325 1676.0 188
37.9797 1672.0 188
38.2489 1670.0 188
38.4961 1666.0 188
38.7653 1664.0 188
39.0125 1662.0 188
39.2761 1658.0 188
39.5288 1656.0 188
39.7925 1654.0 188
40.0452 1650.0 188
40.3088 1648.0 188
40.5615 1644.0 188
40.8252 1640.0 188
41.1383 1636.0 188
41.4020 1634.0 188
41.6547 1632.0 188
41.9183 1630.0 188
42.1710 1628.0 188
42.4347 1626.0 188
42.6874 1622.0 188
42.9510 1620.0 188
43.1982 1618.0 188
43.4674 1616.0 188
43.7146 1612.0 188
43.9838 1610.0 188
44.2310 1610.0 188
44.4946 1606.0 188
44.7473 1604.0 188
45.0110 1602.0 188
45.2637 1600.0 188
45.5273 1596.0 188
45.7800 1594.0 188
46.0437 1594.0 188
46.2964 1592.0 188
46.5601 1588.0 188
46.8073 1586.0 188
47.0764 1584.0 188
47.3401 1584.0 188
47.5928 1582.0 188
47.8564 1582.0 188
48.1091 1580.0 188
48.3728 1578.0 188
48.6200 1576.0 188
48.8892 1572.0 188
49.1364 1572.0 188
49.4055 1572.0 188
49.6527 1568.0 188
49.9219 1566.0 188
50.1691 1566.0 188
50.4327 1564.0 188
50.6854 1562.0 188
50.9491 1560.0 188
51.2018 1562.0 188
51.4655 1562.0 188
51.7181 1560.0 188
51.9818 1558.0 188
52.2290 1558.0 188
52.4982 1556.0 188
52.7454 1554.0 188
53.0145 1554.0 188
53.2617 1554.0 188
53.5309 1552.0 188
53.7946 1550.0 188
54.0417 1548.0 188
54.3109 1548.0 188
54.5581 1548.0 188
54.8273 1546.0 188
55.0745 1544.0 188
55.3436 1544.0 188
55.5908 1544.0 188
55.8545 1544.0 188
56.1072 1542.0 188
56.3708 1542.0 188
56.6235 1542.0 188
56.8707 1542.0 188
57.1234 1542.0 188
57.3871 1542.0 188
57.6398 1540.0 188
57.8870 1538.0 188
58.1396 1538.0 188
58.4033 1538.0 188
58.6560 1538.0 188
58.9032 1538.0 188
59.1669 1540.0 188
59.4196 1538.0 188
59.7327 1536.0 188
59.9799 1536.0 188
60.2325 1536.0 188
60.4358 1538.0 188
60.7489 1536.0 188
60.9521 1538.0 188
61.1993 1538.0 188
61.4520 1538.0 188
62.0123 1470.0 188
62.2760 1480.0 188
62.5287 1508.0 188
62.7759 1532.0 188
63.0286 1534.0 188
63.2922 1536.0 188
63.4790 1538.0 188
63.7921 1536.0 188
63.9954 1538.0 188
64.2480 1538.0 188
64.5117 1538.0 188
64.7644 1540.0 188
65.0116 1540.0 188
65.2643 1540.0 188
65.5280 1540.0 188
65.7806 1540.0 188
66.0278 1540.0 188
66.2805 1542.0 188
66.5442 1542.0 188
66.7969 1544.0 188
67.0441 1546.0 188
67.3077 1546.0 188
67.5604 1544.0 188
68.3240 1548.0 188
68.5767 1576.0 188
69.2029 1386.0 188
70.3235 1232.0 188
70.6366 1198.0 188
70.9497 1166.0 188
71.2024 1134.0 188
71.5155 1104.0 188
71.7627 1074.0 188
72.0758 1044.0 188
72.6361 984.0 188
72.9492 960.0 188
73.2623 934.0 188
73.5754 908.0 188
73.8281 884.0 188
74.1357 862.0 188
74.4489 840.0 188
74.7015 820.0 188
75.0146 802.0 188
75.3278 782.0 188
75.6354 762.0 188
75.9485 744.0 188
76.2012 728.0 188
76.5143 714.0 188
76.8274 700.0 188
77.0746 688.0 188
77.3877 678.0 188
77.6404 668.0 188
77.9480 656.0 188
78.2007 648.0 188
78.5138 638.0 188
78.8269 628.0 188
79.0741 620.0 188
79.3872 610.0 188
79.6399 604.0 188
79.9530 594.0 188
80.2002 586.0 188
80.5133 580.0 188
80.7770 572.0 188
81.0736 564.0 188
81.3867 556.0 188
81.6559 548.0 188
81.9525 542.0 188
82.2162 536.0 188
82.5293 528.0 188
82.8424 520.0 188
83.0896 514.0 188
83.4192 508.0 188
83.7323 501.0 188
83.9795 495.0 188
84.2926 489.0 188
84.5618 483.0 188
84.8749 477.0 188
85.1825 472.0 188
85.4352 466.0 188
85.7483 459.0 188
86.0779 455.0 188
86.3251 450.0 188
86.6382 444.0 188
86.9513 439.0 188
87.2150 435.0 188
87.5281 430.0 188
87.7808 426.0 188
88.0884 421.0 188
88.4180 416.0 188
88.6707 413.0 188
88.9838 409.0 188
89.2474 406.0 188
89.5605 401.0 188
89.8077 397.0 188
90.1208 394.0 188
90.3900 391.0 188
90.7031 387.0 188
91.0107 384.0 188
91.2799 380.0 188
91.5930 377.0 188
91.8402 374.0 188
92.1533 370.0 188
92.4664 367.0 188
92.7301 365.0 188
92.9828 362.0 188
93.3124 359.0 188
93.6200 356.0 188
93.8727 353.0 188
94.1858 351.0 188
94.4495 348.0 188
94.7626 346.0 188
95.0153 343.0 188
95.3229 341.0 188
95.5920 338.0 188
95.9052 336.0 188
96.1688 334.0 188
96.4819 331.0 188
96.7291 329.0 188
97.0422 327.0 188
97.3114 325.0 188
97.6245 322.0 188
97.8717 320.0 188
98.2013 317.0 188
98.5144 315.0 188
98.7616 313.0 188
99.0747 311.0 188
99.3384 309.0 188
99.6515 307.0 188
99.9042 305.0 188
100.2173 302.0 188
100.4810 300.0 188
100.7941 299.0 188
101.0577 297.0 188
101.3708 296.0 188
101.6235 294.0 188
101.9366 292.0 188
102.2003 290.0 188
102.5134 288.0 188
102.7606 287.0 188
103.0902 285.0 188
103.3429 283.0 188
103.6560 282.0 188
103.9197 280.0 188
104.2328 279.0 188
104.4800 277.0 188
104.7931 276.0 188
105.0623 274.0 188
105.3699 273.0 188
105.6390 272.0 188
105.9521 270.0 188
106.1993 269.0 188
106.5125 267.0 188
106.7761 266.0 188
107.0288 265.0 188
107.3419 263.0 188
107.6056 262.0 188
107.9187 261.0 188
108.1714 259.0 188
108.4955 258.0 188
108.7482 257.0 188
109.0613 256.0 188
109.3250 255.0 188
109.5776 254.0 188
109.8853 253.0 188
110.1544 251.0 188
110.4675 250.0 188
110.7147 249.0 188
111.0278 248.0 188
111.2915 247.0 188
111.5442 246.0 188
111.8573 244.0 188
112.1045 244.0 188
112.4176 243.0 188
112.6868 242.0 188
112.9999 241.0 188
113.2471 240.0 188
113.4998 239.0 188
113.8239 238.0 188
114.0765 237.0 188
114.3896 236.0 188
114.6368 235.0 188
114.9060 235.0 188
115.2136 234.0 188
115.4663 233.0 188
115.7135 232.0 188
116.0266 231.0 188
116.2958 230.0 188
116.6089 229.0 188
116.8561 228.0 188
117.1198 228.0 188
117.4329 227.0 188
117.6855 226.0 188
117.9987 225.0 188
118.2458 224.0 188
118.5150 224.0 188
118.8281 223.0 188
119.0753 222.0 188
119.3390 222.0 188
119.6521 221.0 188
119.9048 220.0 188
120.2179 219.0 188
120.4651 219.0 188
120.7343 218.0 188
121.0419 217.0 188
121.2946 217.0 188
121.5582 216.0 188
121.8713 215.0 188
122.1240 215.0 188
122.3712 214.0 188
122.6404 214.0 188
122.8876 214.0 188
123.2007 213.0 188
123.4644 212.0 188
123.7170 212.0 188
124.0302 211.0 188
124.3433 210.0 188
124.5905 210.0 188
124.8541 209.0 188
125.1068 209.0 188
125.3705 209.0 188
125.6836 208.0 188
125.9363 207.0 188
126.1835 207.0 188
126.4966 206.0 188
126.7603 206.0 188
127.0129 205.0 188
127.2766 205.0 188
127.5897 204.0 188
127.8424 204.0 188
128.1555 203.0 188
128.4027 203.0 188
128.6719 203.0 188
128.9191 202.0 188
129.1827 202.0 188
129.4958 201.0 188
129.7485 201.0 188
129.9957 200.0 188
130.2649 200.0 188
130.5121 200.0 188
130.8252 199.0 188
131.0779 199.0 188
131.3855 198.0 188
131.6547 198.0 188
131.9019 198.0 188
132.1710 197.0 188
132.4182 197.0 188
132.7313 196.0 188
132.9840 196.0 188
133.2477 196.0 188
133.5608 195.0 188
133.8080 195.0 188
134.0771 195.0 188
134.3243 194.0 188
134.5770 194.0 188
134.8901 193.0 188
135.1538 193.0 188
135.4010 193.0 188
135.7141 192.0 188
135.9833 192.0 188
136.2305 192.0 188
136.4832 191.0 188
136.7468 191.0 188
136.9995 191.0 188
137.2632 191.0 188
137.5598 190.0 188
137.8235 190.0 188
138.0762 190.0 188
138.3893 189.0 188
138.6530 189.0 188
138.9056 189.0 188
139.1528 189.0 188
139.4165 189.0 188
139.6692 188.0 188
139.9219 188.0 188
140.1855 188.0 188
140.4327 188.0 188
140.6854 188.0 188
140.9985 187.0 188
