#RPLIDAR SCAN DATA
#COUNT=469
#Angule	Distance	Quality
354.6387 478.0 188
354.9792 473.0 188
355.4022 468.0 188
355.7483 464.0 188
356.1548 461.0 188
356.5118 458.0 188
356.9183 454.0 188
357.2809 451.0 188
357.6215 449.0 188
358.0444 446.0 188
358.3905 445.0 188
358.7476 444.0 188
359.0936 443.0 188
359.4507 441.0 188
359.8572 439.0 188
0.2142 438.0 188
0.5603 437.0 188
0.9174 436.0 188
1.2799 436.0 188
1.6205 436.0 188
1.9830 436.0 188
2.3236 434.0 188
2.6862 433.0 188
3.0432 435.0 188
3.3893 436.0 188
3.7463 435.0 188
4.0924 436.0 188
4.4495 437.0 188
4.8120 438.0 188
5.1526 439.0 188
5.4492 442.0 188
5.8118 442.0 188
6.8719 443.0 188
16.3696 284.0 188
17.0288 286.0 188
24.2139 301.0 188
33.6511 462.0 188
33.9478 464.0 188
34.2938 468.0 188
36.7163 322.0 188
39.6222 343.0 188
39.9792 343.0 188
40.3418 343.0 188
40.6989 344.0 188
41.0449 344.0 188
41.4020 345.0 188
41.7645 345.0 188
42.1051 346.0 188
42.4677 346.0 188
42.7643 347.0 188
69.9994 150.0 188
70.2960 151.0 188
70.6531 151.0 188
71.3123 152.0 188
77.6404 405.0 188
78.1073 396.0 188
78.5138 387.0 188
78.9203 380.0 188
79.3268 375.0 188
79.7498 372.0 188
80.0903 369.0 188
80.5133 364.0 188
80.9198 358.0 188
81.3263 353.0 188
82.0898 351.0 188
84.0894 357.0 188
84.5123 353.0 188
84.9188 350.0 188
85.2649 349.0 188
85.6219 347.0 188
86.0284 345.0 188
86.3855 343.0 188
86.7920 341.0 188
87.1545 339.0 188
87.4951 338.0 188
87.9016 336.0 188
88.2642 335.0 188
88.6212 334.0 188
89.0277 332.0 188
89.3903 331.0 188
89.7308 329.0 188
90.1373 327.0 188
90.4999 325.0 188
90.8569 324.0 188
91.2634 322.0 188
91.6205 321.0 188
92.0270 319.0 188
92.3730 317.0 188
92.7301 316.0 188
93.1366 314.0 188
93.4991 312.0 188
93.9056 310.0 188
94.2627 309.0 188
94.6088 308.0 188
95.0153 307.0 188
95.3723 307.0 188
95.7294 307.0 188
96.0260 308.0 188
96.3721 308.0 188
96.7291 309.0 188
97.0752 309.0 188
97.4323 310.0 188
97.7948 311.0 188
98.0914 312.0 188
98.4375 312.0 188
98.7946 313.0 188
99.1406 313.0 188
99.4977 314.0 188
99.8547 314.0 188
100.2008 314.0 188
100.5579 315.0 188
100.9039 315.0 188
101.2006 316.0 188
101.5576 316.0 188
101.9202 316.0 188
102.2607 317.0 188
102.6233 317.0 188
102.9639 318.0 188
103.3264 318.0 188
103.6835 319.0 188
104.0295 319.0 188
104.3262 321.0 188
104.6832 322.0 188
104.9799 324.0 188
105.3259 326.0 188
105.6226 329.0 188
105.9796 332.0 188
106.2762 336.0 188
106.5729 340.0 188
107.5781 346.0 188
109.1382 398.0 188
109.4843 398.0 188
109.8413 401.0 188
110.1379 405.0 188
110.4950 409.0 188
110.7916 414.0 188
111.0938 422.0 188
128.7653 740.0 188
156.5112 694.0 188
157.7966 618.0 188
161.5759 660.0 188
161.8726 674.0 188
162.2296 680.0 188
162.5262 690.0 188
162.8723 690.0 188
163.2788 680.0 188
163.6359 682.0 188
163.9984 682.0 188
165.0586 682.0 188
177.2314 1200.0 188
177.5775 1190.0 188
177.9346 1176.0 188
178.6377 1174.0 188
178.9948 1178.0 188
182.2302 1132.0 188
182.5763 1130.0 188
182.9333 1126.0 188
183.2794 1122.0 188
183.6365 1120.0 188
184.0430 1116.0 188
184.4055 1110.0 188
184.7461 1108.0 188
185.1086 1104.0 188
185.4657 1100.0 188
185.8118 1098.0 188
186.1688 1094.0 188
186.5149 1092.0 188
186.8719 1090.0 188
188.3551 672.0 188
188.7177 678.0 188
189.0143 684.0 188
189.3713 692.0 188
191.2939 642.0 188
191.6510 640.0 188
192.0135 638.0 188
192.3541 636.0 188
192.7167 634.0 188
193.0573 632.0 188
193.4802 630.0 188
193.8263 628.0 188
194.1833 628.0 188
194.5459 630.0 188
194.8865 630.0 188
195.2490 628.0 188
195.6061 628.0 188
195.9521 628.0 188
196.3092 626.0 188
196.6718 624.0 188
197.0123 624.0 188
198.0780 624.0 188
201.4673 264.0 188
201.8079 264.0 188
202.1704 264.0 188
202.5275 264.0 188
202.8241 265.0 188
203.1866 265.0 188
203.5272 265.0 188
203.8898 265.0 188
204.2468 266.0 188
205.2466 268.0 188
205.6531 333.0 188
206.0156 334.0 188
206.3123 339.0 188
206.6089 344.0 188
206.9055 347.0 188
207.2626 348.0 188
207.6691 346.0 188
208.0261 342.0 188
208.4326 340.0 188
208.7952 338.0 188
209.1357 337.0 188
209.4983 338.0 188
210.5585 338.0 188
215.8264 272.0 188
216.1670 273.0 188
216.5295 273.0 188
216.8262 274.0 188
217.1832 274.0 188
217.5458 275.0 188
217.8864 275.0 188
218.2489 276.0 188
218.9026 278.0 188
221.5778 588.0 188
221.9843 584.0 188
222.2809 586.0 188
222.6984 578.0 188
223.1049 568.0 188
223.4674 566.0 188
223.8080 564.0 188
224.1705 562.0 188
224.5276 562.0 188
224.8737 560.0 188
225.2307 560.0 188
225.6372 558.0 188
225.9998 556.0 188
226.3568 556.0 188
226.7029 554.0 188
227.0599 554.0 188
227.4170 554.0 188
227.7631 554.0 188
228.1201 556.0 188
228.4827 558.0 188
229.1858 556.0 188
229.7626 510.0 188
230.1086 509.0 188
230.4657 508.0 188
231.5149 507.0 188
232.2620 446.0 188
232.6080 440.0 188
233.0310 435.0 188
233.4375 431.0 188
233.7781 427.0 188
234.1846 422.0 188
234.5416 418.0 188
234.9481 411.0 188
235.4205 403.0 188
235.7611 398.0 188
236.1676 392.0 188
236.5302 391.0 188
236.8872 393.0 188
237.7496 377.0 188
238.1067 373.0 188
238.5132 372.0 188
238.8702 370.0 188
239.2163 369.0 188
239.5734 370.0 188
239.9799 367.0 188
240.3259 363.0 188
240.7489 361.0 188
241.0895 360.0 188
241.4520 360.0 188
241.7926 359.0 188
242.1552 357.0 188
242.5616 355.0 188
242.9022 354.0 188
243.2648 353.0 188
243.6053 353.0 188
244.0283 351.0 188
244.3744 349.0 188
244.7314 348.0 188
245.1379 346.0 188
245.4840 345.0 188
245.8411 344.0 188
246.1871 342.0 188
246.5936 341.0 188
246.9507 339.0 188
247.3077 338.0 188
247.7142 336.0 188
248.0603 334.0 188
248.4668 332.0 188
248.8239 329.0 188
249.2303 327.0 188
249.5929 326.0 188
249.9335 325.0 188
250.2960 324.0 188
250.7025 323.0 188
251.0431 322.0 188
251.4056 321.0 188
251.7462 321.0 188
252.1088 321.0 188
252.4658 321.0 188
252.8119 321.0 188
253.1689 320.0 188
253.5754 319.0 188
253.9215 318.0 188
254.2786 317.0 188
254.6851 315.0 188
255.0916 311.0 188
255.4980 307.0 188
255.8551 305.0 188
256.2616 302.0 188
256.6077 300.0 188
257.0306 298.0 188
257.4371 296.0 188
257.7777 294.0 188
258.1403 293.0 188
258.5468 292.0 188
258.8873 291.0 188
259.3103 289.0 188
259.6509 288.0 188
260.0134 288.0 188
260.3540 287.0 188
260.7166 286.0 188
261.0571 286.0 188
261.4197 287.0 188
261.7603 287.0 188
262.1228 288.0 188
262.4634 289.0 188
263.1830 289.0 188
264.0125 301.0 188
264.4189 299.0 188
264.7760 297.0 188
265.1825 295.0 188
265.5450 293.0 188
265.8856 293.0 188
266.2482 294.0 188
266.6052 294.0 188
266.9513 293.0 188
267.3083 293.0 188
267.6544 293.0 188
268.0115 294.0 188
268.3740 295.0 188
268.7146 295.0 188
269.0771 294.0 188
269.4836 291.0 188
269.9011 287.0 188
270.3076 285.0 188
270.7141 282.0 188
271.0767 281.0 188
271.4832 279.0 188
271.8402 278.0 188
272.1863 278.0 188
272.5433 277.0 188
272.9498 276.0 188
273.3124 276.0 188
273.6530 275.0 188
274.0155 275.0 188
274.3726 275.0 188
274.7186 274.0 188
275.0757 274.0 188
275.4822 272.0 188
275.8392 271.0 188
276.2457 269.0 188
276.6083 268.0 188
276.9489 268.0 188
277.3114 268.0 188
277.7179 267.0 188
278.0750 267.0 188
278.4375 267.0 188
278.7341 268.0 188
279.0747 268.0 188
279.4373 269.0 188
279.7943 270.0 188
280.0909 271.0 188
280.4370 272.0 188
280.7941 272.0 188
281.1511 273.0 188
281.4478 275.0 188
281.7938 276.0 188
282.0905 278.0 188
282.4530 279.0 188
282.7496 281.0 188
283.0463 283.0 188
283.4033 285.0 188
283.7000 289.0 188
284.2932 293.0 188
287.3419 2196.0 188
287.6825 2160.0 188
288.0450 2140.0 188
288.4021 2132.0 188
288.7482 2140.0 188
289.1052 2144.0 188
289.8083 2132.0 188
290.8740 2132.0 188
291.4178 2916.0 188
291.7639 2916.0 188
292.1210 2916.0 188
292.4835 2912.0 188
292.8241 2912.0 188
293.1866 2908.0 188
293.5437 2904.0 188
293.8898 2900.0 188
294.2468 2900.0 188
294.5929 2900.0 188
294.9500 2896.0 188
295.9991 2920.0 188
296.6528 3200.0 188
296.9989 3204.0 188
299.5313 3044.0 188
